establishment_name|company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|filter_list_company_name|stripped_company_name
Elmer W. Davis, Inc|Elmer W. Davis, Inc|NY|1|3|250|260723||'Elmer W. Davis Inc.'|elmer w. davis
Roof Maintenance Systems|Roof Maintenance Systems|NJ|1|21|16|27763|222016917|'Roof Maintenance Systems'|roof maintenance
Midwest Coating, Inc.|Midwest Coating, Inc.|KS|1|21|37|93597|480896503|'Midwest Coating Inc.'|midwest coating
Piedmont National Corp.|Piedmont National Corp.|GA|1|3|283|556106|580707747|'Piedmont Construction Company'|piedmont
Mercedes Benz of Plano|Ewing Group|TX|1|2|248|515840|751398953|'Ewing Associates'|ewing
United Group Services|United Group Services|OH|1|3|345|1225796|311035659|'United Contractors'|united
Delta Innovative Services Inc|Delta Innovative Services|KS|1|22|145|229963|200820115|'Delta Innovative Services'|delta innovative
South Central Roofing, Inc.|South Central Roofing, Inc.|IN|1|1|18|32589|352087207|'South Central Roofing Inc.'|south central roofing
ABR Construction Inc.|ABR Construction Inc.|KY|1|2|98|186147|610971502|'ABR Construction Inc.'|abr
Black Hawk Roof Company|Black Hawk Roof Co.|IA|1|21|55|129480|421405570|'Black Hawk Roof Co. Inc.'|black hawk roof
Alpha Services Idaho|Alpha Services LLC|ID|1|3|218|328999|820534879|'Alpha Construction Services'|alpha
Cooper Roofing & Solar, LLC.|Cooper Roofing & Solar, LLC.|NV|1|3|373|824968|270365569|'Cooper Roofing & Solar INC'|cooper roofing & solar
Service Roofing Company|Service Roofing Company|IA|1|21|23|32158|420895028|'Service Roofing Co.'|service roofing
D.A. Nolt, Inc.|D.A. Nolt, Inc.|NJ|1|2|29|53900|223062854|'D.A. Nolt Inc.'|d.a. nolt
NRG Will County Generating Station|NRG|IL|1|2|4|12661|463985344|'NRG Construction LLC'|nrg
Plattsburgh|Titan Roofing, Inc|NY|1|1|2|4642|042630303|'Titan Roofing'|titan roofing
CertainTeed Corporation Williamsport Maryland|CertainTeed Corporation|MD|1|3|348|713549||'CertainTeed LLC'|certainteed
Chowchilla|CertainTeed Corporation|CA|1|22|208|415858|232510893|'CertainTeed LLC'|certainteed
Bonitz of Georgia|Bonitz of Georgia|GA|1|21|41|90402|581897306|'Bonitz of Georgia Inc.'|bonitz of georgia
Allweather Roof|Allweather Roof|MN|1|21|84|164902|411536214|'Allweather Roof'|allweather roof
Security-Luebke Roofing Inc.|Security-Luebke Roofing Inc.|WI|1|22|96|208512|462614838|'Security-Luebke Roofing, Inc.'|security-luebke roofing
Jeff Eubank Roofing|Jeff Eubank Roofing|TX|1|21|76|177583|752250258|'Jeff Eubank Roofing Co. Inc.'|jeff eubank roofing
Webco VAF|Webco Industries Inc|PA|1|21|48|96450|731097133|'WEBCO Services LLC'|webco
Pax Gonzales|Pax LLC|LA|1|21|32|72741||'PAX Services Group'|pax
OKC - Star Center Tube|Webco Industries Inc.|OK|1|3|225|478015|731097133|'WEBCO Services LLC'|webco
SK5|Skyline|IL|1|3|360|608595|364098875|'Skyline Construction Services Inc.'|skyline
KASCO STRUCTURES LLC|KASCO STRUCTURES LLC|TX|1|21|47|59577||'Kasco Structures LLC'|kasco structures
Pax Deridder|Pax LLC|LA|1|1|12|30669||'PAX Services Group'|pax
Four Seasons Kanga Roof|Four Seasons Kanga Roof|MI|1|21|65|120480|371532159|'Four Seasons Kanga Roof'|four seasons kanga roof
United Manufacturing, Inc.|UNITED MANUFACTURING INC|KS|1|21|24|47277|480684406|'United Contractors'|united
Highland - Wilmington|Highland Roofing Company|NC|1|21|40|78057||'Highland Roofing Co. Inc.', 'Highland Roofing Company'|highland roofing
US Gypsum Auburn|USG|WA|1|21|52|96343|361898410|'USG Corporation'|usg
US Gypsum Aliquippa|USG|PA|1|22|191|378301|361898410|'USG Corporation'|usg
US Gypsum Baltimore|USG|MD|1|22|237|474734|361898410|'USG Corporation'|usg
USG Interiors Cartersville|USG|GA|1|21|31|60242|453811432|'USG Corporation'|usg
US Gypsum Dallas|USG|TX|1|21|56|124222|361898410|'USG Corporation'|usg
US Gyspum Delavan|USG|WI|1|21|30|63461|361898410|'USG Corporation'|usg
US Gypsum Detroit|USG|MI|1|22|109|219323|361898410|'USG Corporation'|usg
