establishment_name|company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|match_company_name|stripped_company_name|company_name_multiple_match
Bayside Manor|Monarch|MN|1|2|80|100308|873755613|'Monarch Consulting Services'|monarch|false
GreenWood, Inc.- Optima|GreenWood, Inc.|WV|1|1|2|3667|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc.- Solvay|GreenWood, Inc.|GA|1|2|47|92248|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc.- Fujifilm|GreenWood, Inc.|SC|1|2|40|69275|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc.- Standard Aero|GreenWood, Inc.|GA|1|1|4|7982|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc. - Altivia|GreenWood, Inc.|WV|1|2|7|12288|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc.- Eaton Aerospace Group|GreenWood|SC|1|1|6|11183|570967122|'Greenwood Industries Inc.'|greenwood|false
Bennett & Brosseau Roofing, Inc.|Bennett & Brosseau Roofing, Inc.|IL|1|2|104|197174|363035239|'Bennett & Brosseau Roofing Inc.'|bennett & brosseau roofing|false
Morgan Thermal Ceramics - MKS|GreenWood, Inc.|SC|1|1|3|7478|570967122|'Greenwood Industries Inc.'|greenwood|false
Clearon Corp - CLN|GreenWood, Inc.|SC|1|1|4|1210|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc.|GreenWood, Inc.|SC|1|3|648|1216678|570967122|'Greenwood Industries Inc.'|greenwood|false
Noble Pride Roofing Company Inc.|Noble Pride Roofing Company Inc.|CA|1|2|22|86282|542186604|'Noble Pride Roofing'|noble pride roofing|false
Sutter Roofing Company of Florida|Sutter Roofing|FL|1|2|235|543043|591923325|'Sutter Roofing', 'Sutter Roofing Co.'|sutter roofing|true
FITZ-FAHL|ROBERTS ROOFING COMPANY|OH|1|2|19|42793|341418432|'Roberts Roofing Co.', 'Roberts Roofing Co. Inc.'|roberts roofing|true
Great Lakes Solutions LLC|Great Lakes Solutions LLC|MI|1|2|73|96670|872485066|'Great Lakes Systems Inc.'|great lakes|false
Aspen Corporation|Aspen Corporation|WV|1|2|105|241669||'Aspen Group'|aspen|false
Damschroder Roofing, Inc.|DAMSCHRODER ROOFING INC|OH|1|2|40|73066|342037110|'Damschroder Roofing LLC'|damschroder roofing|false
SiVance LLC|Milliken & Company|FL|1|2|156|318301|510105342|'Milliken & Company'|milliken &|false
Bone Roofing Supply, Inc.|Bone Roofing Supply, Inc|IL|1|2|50|80000|362729296|'Bone Roofing Supply Inc.'|bone roofing supply|false
AECOM DCS (US Operations)|AECOM|TX|1|3|15192|30384975|952661922|'AECOM'|aecom|false
Highland - Wilmington|Highland Roofing Company|NC|1|2|40|75412||'Highland Roofing Co. Inc.', 'Highland Roofing Company'|highland roofing|true
Unilock Chicago|Unilock Inc.|IL|1|2|150|331954|363480878|'Unilock'|unilock|false
Highland - Raleigh|Highland Roofing Company|NC|1|1|17|33720||'Highland Roofing Co. Inc.', 'Highland Roofing Company'|highland roofing|true
DAUGHERTY CONSTRUCTION INC|DAUGHERTY CONSTRUCTION INC|OH|1|2|40|41087|341617760|'Daugherty Construction Inc.'|daugherty|false
COASTAL ROOFING INC.|COASTAL ROOFING INC.|FL|1|2|70|11440|800624061|'Coastal Roofing Co. Inc.'|coastal roofing|false
Woodlands Healthcare Center|Aspen Corporation|CA|1|2|88|132482||'Aspen Group'|aspen|false
