company_name|ein|annual_average_employees_2020|annual_average_employees_2021|annual_average_employees_2022|annual_average_employees_2023|annual_average_employees_2024|total_hours_worked_2020|total_hours_worked_2021|total_hours_worked_2022|total_hours_worked_2023|total_hours_worked_2024|pitchbook_list_website|pitchbook_list_company_name|top100_company_name|nrca_list_company_name|affinity_organizations_20250915_141926_company_name|osha_company_name|stripped_company_name
Alabama Roofing & Sheet Metal Co Inc.|630509232|37|0|0|23|0|57767|0|0|49986|0||||Alabama Roofing & Sheet Metal Inc.||Alabama Roofing & Sheet Metal Co Inc.|alabama roofing & sheet metal
Alan's Roofing Inc.|592954534|75|0|0|0|0|156000|0|0|0|0||||Alan's Roofing Inc.||Alan's Roofing Inc.|alan's roofing
Alcal Specialty Conntracting, Inc|680526024|42|36|38|46|166|62152|47869|62606|62257|271724||||||Alcal Specialty Conntracting, Inc|alcal specialty conntracting
Alder Sales Corporaton|870109555|32|0|0|0|0|71746|0|0|0|0||||||Alder Sales Corporaton|alder sales corporaton
Alex Roofing Co., Inc.|251358277|22|26|22|17|13|48200|41686|42575|31710|18285||||||Alex Roofing Co., Inc.|alex roofing
All American Commercial Roofing Inc.  dba All American Exterior Solutions|364338072|128|124|108|133|106|192490|181537|178993|232815|172028||||||All American Commercial Roofing Inc.  dba All American Exterior Solutions|all american commercial roofing inc. dba all american exterior
All American Roofing & Coating of Florida, Inc.|453797880|0|0|25|0|22|0|0|48606|0|41825||||||All American Roofing & Coating of Florida, Inc.|all american roofing & coating of florida
All American Roofing Inc. dba All American Exterior Solutions|363422277|28|11|11|18|8|32845|9565|12430|27321|10423||||||All American Roofing Inc. dba All American Exterior Solutions|all american roofing inc. dba all american exterior
All Area Roofing & Waterproofing, Inc|593434736|0|28|28|54762|0|0|52892|54271|26|0||||||All Area Roofing & Waterproofing, Inc|all area roofing & waterproofing
All Pro Construction Services, Inc.|352466754|44|48|59|43|41|65647|78308|98381|73607|66099||||||All Pro Construction Services, Inc.|all pro
All Roofs of Florida, Inc.|843266657|0|0|0|21|20|0|0|0|5368|30444||||||All Roofs of Florida, Inc.|all roofs of florida
All Seasons Insulation|900438543|0|0|13|17|0|0|0|25985|31417|0||||||All Seasons Insulation|all seasons insulation
All Seasons Roofing, LLC|204885966|0|22|15|18|20|0|27406|28858|42323|41137|unknown|All Seasons Roofing Services||All Seasons Roofing LLC||All Seasons Roofing, LLC|all seasons roofing
All Star Roofing, Inc.|112892662|0|0|0|12|10|0|0|0|20535|20750||||All Star Roofing Inc.||All Star Roofing, Inc.|all star roofing
All Surface Roofing & Waterproofing|830349436|27|0|0|0|0|3525940|0|0|0|0|www.asr-inc.us|All Surface Roofing and Waterproofing||||All Surface Roofing & Waterproofing|all surface roofing & waterproofing
All-South Subcontractors, Inc.||0|75|0|0|87|0|175727|0|0|170015|||All-South Subcontractors, Inc.|All-South Subcontractors, Inc.||All-South Subcontractors, Inc.|all-south subcontractors
Allegiance Roof Systems|812689310|0|0|0|24|0|0|0|0|249600|0||||Allegiance Roof Systems||Allegiance Roof Systems|allegiance roof
Allen Roofing & Siding, LLC.|881581570|0|0|100|100|100|0|0|77136|145356|159495|www.aroofing.net|Allen Roofing & Siding||Allen Roofing & Siding||Allen Roofing & Siding, LLC.|allen roofing & siding
Alliance Roofing|853598851|0|18|19|19|0|0|40233|42015|42379|0||||Alliance Roofing, LLC||Alliance Roofing|alliance roofing
