id,establishment_name,establishment_id,ein,company_name,street_address,city,state,zip_code,naics_code,naics_year,industry_description,establishment_type,size,annual_average_employees,total_hours_worked,no_injuries_illnesses,total_deaths,total_dafw_cases,total_djtr_cases,total_other_cases,total_dafw_days,total_djtr_days,total_injuries,total_skin_disorders,total_respiratory_conditions,total_poisonings,total_hearing_loss,total_other_illnesses,created_timestamp,change_reason,year_filing_for,sector,zipcode,naics_char
2804876,"Weathermaster Roofing Co., Inc.",195277,161218937,"Weathermaster Roofing Co., Inc.",259 W. Service Road,Binghamton,NY,13901,238160,2012,Low slope roofing installation,1,21,43,58722,2,0,0,0,0,0,0,0,0,0,0,0,0,28FEB25:15:15:00,,2024,Construction,13901,238160
2571104,CAW Georgia LLC Office,195355,262602347,Coatings Application & Waterproofing of Georgia LLC,528 Atlanta Street SE,Marietta,GA,30060,238160,2012,Roofing contractors,1,1,8,13356,2,0,0,0,0,0,0,0,0,0,0,0,0,28JAN25:19:15:00,,2024,Construction,30060,238160
2522684,Williamsburg Office,195628,161755493,Pyramid Roofing,5268 Olde Towne Rd.,Williamsburg,VA,23188,238160,2012,Roofing contractors,1,1,15,26415,1,0,1,0,0,3,0,1,0,0,0,0,0,15JAN25:16:44:00,,2024,Construction,23188,238160
2504927,TWIN CITY ROOFING LLC,196308,,TWIN CITY ROOFING LLC,2720 34TH ST NW,MANDAN,ND,58554,238160,2012,Roofing contractors,1,21,23,38942,2,0,0,0,0,0,0,0,0,0,0,0,0,07JAN25:19:38:00,,2024,Construction,58554,238160
2722444,T & K Roofing & Sheet Metal Company Inc.,198173,420949793,T & K Roofing & Sheet Metal Company Inc.,101 T & K Drive,Ely,IA,52227,238160,2012,Low slope roofing installation,1,21,64,144757,2,0,0,0,0,0,0,0,0,0,0,0,0,24FEB25:17:47:00,,2024,Construction,52227,238160
2554769,Enterprise Roofing & Sheet Metal Company,199335,310569979,Enterprise Roofing & Sheet Metal Company,1021 Irving Ave,Dayton,OH,45419,238160,2012,Roofing contractors,1,22,98,132092,1,0,2,0,2,140,0,4,0,0,0,0,0,24JAN25:14:32:00,,2024,Construction,45419,238160
2789545,Prospect Waterproofing Company,199367,541646622,,118 Acacia Lane,Sterling,VA,20166,238160,2012,Asphalt roof shingle installation,1,3,348,802077,1,0,1,2,4,175,7,7,0,0,0,0,0,27FEB25:21:49:00,,2024,Construction,20166,238160
2859362,"Dixie Roofing, Inc. - LaFollette",201409,621136030,"Dixie Roofing, Inc.",672 Fox Den Lane,LaFollette,TN,37766,238160,2012,"Roofing, built-up tar and gravel, installation",1,22,135,340794,1,0,1,1,2,180,49,4,0,0,0,0,0,04MAR25:21:02:00,,2024,Construction,37766,238160
2859212,"Dixie Roofing, Inc. - Powell",201461,621136030,"Dixie Roofing, Inc.",1703 Depot Street,Powell,TN,37849,238160,2012,Sheet metal roofing installation,1,22,65,172663,1,0,1,2,0,180,75,3,0,0,0,0,0,04MAR25:21:03:00,,2024,Construction,37849,238160
2681049,PA Corporate office,202791,251891877,"Jurin Roofing Services, Inc.",560 Seminary St.,Pennsburg,PA,18073,238160,2012,Roofing contractors,1,21,23,48190,2,0,0,0,0,0,0,0,0,0,0,0,0,18FEB25:20:26:00,,2024,Construction,18073,238160
2522834,Hampton Office,203944,161755493,Pyramid Roofing,2350 50th Street,Hampton,VA,23661,238160,2012,Roofing contractors,1,1,14,24654,1,0,1,1,1,1,3,3,0,0,0,0,0,15JAN25:17:08:00,,2024,Construction,23661,238160
2554697,The Bri-Den Co.,204792,825212554,The Bri-Den Co.,459 29th Street,Ashland,KY,41101,238160,2012,Roof membrane installation,1,21,35,60750,1,0,1,0,0,156,0,1,0,0,0,0,0,24JAN25:14:20:00,,2024,Construction,41101,238160
2544303,Russell Roofing Company Inc.,204905,232680214,Russell Roofing Inc.,1200 Pennsylvania Ave,Oreland,PA,19075,238160,2012,Roofing contractors,1,21,32,67157,1,0,2,3,0,129,222,5,0,0,0,0,0,22JAN25:15:51:00,,2024,Construction,19075,238160
2842835,Kirkey Roofing Inc.,205654,203325585,Kirkey Roofing Inc.,535 Paul Morris Dr,Englewood,FL,34223,238160,2012,Roofing contractors,1,21,46,104907,1,0,1,0,0,180,0,1,0,0,0,0,0,02MAR25:23:11:00,,2024,Construction,34223,238160
2737071,Tecta America South Florida,208227,650056654,Tecta America Corp.,1431 SW 30th Ave,Deerfield Beach,FL,33442,238160,2012,Roofing contractors,1,21,61,120110,1,0,0,1,0,0,8,1,0,0,0,0,0,25FEB25:17:11:00,,2024,Construction,33442,238160
2846321,Hite Associates,208861,521437805,Hite Roofing,11521 Milnor Avenue,Cumberland,MD,21502,238160,2012,Roofing contractors,1,21,26,42141,1,0,1,0,0,83,0,1,0,0,0,0,0,03MAR25:12:57:00,,2024,Construction,21502,238160
2558730,Noffke Roofing,209718,043668289,"Noffke Roofing Co, LLC",10341 N Granville Rd,Mequon,WI,53097,238160,2012,Roofing contractors,1,21,39,58454,1,0,0,0,4,0,0,4,0,0,0,0,0,24JAN25:20:45:00,,2024,Construction,53097,238160
2884338,Roofing Contractor,213186,261980115,"Kentex Roofing Systems, LLC",8291 Springdale Rd. Ste. 200,Austin,TX,78724,238160,2012,Roofing contractors,1,21,32,60304,2,0,0,0,0,0,0,0,0,0,0,0,0,03APR25:13:50:00,,2024,Construction,78724,238160
2860529,1100,213307,251194990,CentiMark Corporation,51 Belamose Ave,Rocky Hill,CT,06067,238160,2012,Roofing contractors,1,21,59,91156,2,0,0,0,0,0,0,0,0,0,0,0,0,05MAR25:16:06:00,,2024,Construction,06067,238160
2860527,1400,213374,251194990,CentiMark Corporation,298 Hansen Access Rd.,King of Prussia,PA,19406,238160,2012,Roofing contractors,1,21,82,112021,1,0,1,0,0,180,0,1,0,0,0,0,0,05MAR25:16:05:00,,2024,Construction,19406,238160
