company_name|osha_company_name|annual_average_employees|total_hours_worked|ein|stripped_company_name|pitchbook_list_company_name|pitchbook_list_website|top100_company_name|nrca_list_company_name
Archer Exteriors, Inc|Archer Exteriors, Inc|155|308766|223032214|archer exteriors||||
Architectural Sheet Metal, L.L.C|Architectural Sheet Metal, L.L.C|25|45256|061392043|architectural sheet metal l.l.c||||
Architectural Siding, Trim and Roofing, Inc.|Architectural Siding, Trim and Roofing, Inc.|59|81950|341941719|architectural siding trim & roofing||||
Arizona Foam & Spray, Inc|Arizona Foam & Spray, Inc|35|38181|860256516|arizona foam & spray||||
Ark Roofing|Ark Roofing|15|600|450477569|ark roofing||||Ark Roofing Co. Inc.
Arry's Roofing|Arry's Roofing|215|447200||arry's roofing||||
Aspen Contracting, Inc.|Aspen Contracting, Inc.|144|5760|510587434|aspen contracting|||Aspen Contracting, Inc.|Aspen Contracting Inc.
Associated Roofing Professionals, LLC|Associated Roofing Professionals, LLC|18|28890|351844713|associated roofing professionals||||Associated Roofing Professionals Inc.
Axiom Division 7|Axiom Division 7|190|404556|261489962|axiom division 7||||Axiom Division 7 Inc.
Axiom Roofing LLC|Axiom Roofing LLC|36|86027|862141500|axiom roofing||||
Axiom Roofing Oregon LLC|Axiom Roofing Oregon LLC|42|78293|862739917|axiom roofing oregon||||
B  B Sheet Metal and Roofing Inc|B  B Sheet Metal and Roofing Inc|20|34227|411668760|b b sheet metal & roofing||||
B  M ROOFING, LLC.|B  M ROOFING, LLC.|41|74537|822736093|b m roofing||||
B & B ROOFING, INC.|B & B ROOFING, INC.|28|46140|630885733|b & b roofing||||
B&L sheet metal and roofing A Tecta America Company|B&L sheet metal and roofing A Tecta America Company|34|77944|851411788|b & l sheet metal & roofing a tecta america||||B&L Sheet Metal & Roofing a Tecta America Company
B-E Controls LLC|B-E Controls LLC|8|8357|454536522|b-e controls||||B-E Controls
B.H.L. ENTERPRISES, INC.|B.H.L. ENTERPRISES, INC.|102|180733|952800826|b.h.l||||
BFARR Enterprises, LLC|BFARR Enterprises, LLC|40|27600|811201664|bfarr||||
BIG WAVE ROOFING AND SOLAR LLC|BIG WAVE ROOFING AND SOLAR LLC|53|62902|851323658|big wave roofing & solar||||
BISCAYNE CONSTRUCTION COMPANY, INC.|BISCAYNE CONSTRUCTION COMPANY, INC.|48|87784|650624971|biscayne||||
BLACKMORE AND BUCKNER ROOFING A TECTA AMERICA COMPANY LLC|BLACKMORE AND BUCKNER ROOFING A TECTA AMERICA COMPANY LLC|92|178239|202909270|blackmore & buckner roofing a tecta america||||Blackmore & Buckner Roofing a Tecta America Co. LLC
BONDED APPLICATORS INC.|BONDED APPLICATORS INC.|16|29236|231291914|bonded applicators||||
BUDDY'S ROOFING  REPAIRS, INC.|BUDDY'S ROOFING  REPAIRS, INC.|23|31240|200687931|buddy's roofing repairs||||
Bachman's Roofing, Building & Remodeling, Inc.|Bachman's Roofing, Building & Remodeling, Inc.|110|231437|201810654|bachman's roofing building & remodeling||||
Bailey Roofing Contractors, Inc.|Bailey Roofing Contractors, Inc.|53|91628|421327245|bailey roofing|Bailey Roofing Contractors|baileyroofing.com||
Baker Roofing|Baker Roofing|706|1472011|560130810|baker roofing|Baker Roofing|www.bakerroofing.com|Baker Roofing Company|Baker Roofing Co.
