establishment_name|company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|match_company_name|stripped_company_name|company_name_multiple_match
Wilmington|Baker Roofing||1.00|1.00|29.00|61076.00|560130810|'Baker Roofing'|baker roofing|false
VA Offices Baker Roofing LLC|Baker Roofing||1.00|1.00|182.00|369181.00|541136608|'Baker Roofing'|baker roofing|false
|Baley Roofing Contractors||||||||baley roofing|false
|Bar-B Roofing||||||||bar-b roofing|false
|Bartlett Roofing||||||||bartlett roofing|false
|Bath Roofing Contractors||||||||bath roofing|false
|Batterbee Roofing||||||||batterbee roofing|false
|Bayside Siding & Roofing Contractor||||||||bayside siding & roofing contractor|false
|BDC Roof||||||||bdc roof|false
|Beachcomber Tours Limited||||||||beachcomber tours|false
|Beacon (Interior Products Business)||||||||beacon (interior products business)|false
|Beacon Roofing||||||||beacon roofing|false
|Beacon Roofing Supply||||||||beacon roofing supply|false
|Belcher Contractors & Roofing||||||||belcher contractors & roofing|false
Beldon Roofing & Remodeling Co|Beldon Roofing & Remodeling||1.00|2.00|156.00|370897.00|741316691|'Beldon Roofing & Remodeling Co'|beldon roofing & remodeling|false
|Best Choice Roofing & Home Improvement||||||||best choice roofing & home improvement|false
|Best Hands Roofing Contractors of Colorado Springs||||||||best hands roofing contractors of colorado springs|false
Best Roofing Services, LLC|Best Roofing||1.00|3.00|267.00|711229.00||'Best Roofing'|best roofing|false
|BH Roofing (Other Commercial Services)||||||||bh roofing (other commercial services)|false
|Big Rapids Roofing||||||||big rapids roofing|false
|Bigfoot Roofing & Construction||||||||bigfoot roofing &|false
Bill Shields Roofing, Inc.|Bill Shields Roofing||1.00|2.00|36.00|73452.00|591502277|'Bill Shields Roofing, Inc.'|bill shields roofing|false
|Birmingham Roofing Contractors||||||||birmingham roofing|false
|Blackhawk Roofing Services||||||||blackhawk roofing|false
|Blake Roofing Services||||||||blake roofing|false
|Blenheim Roofing Services||||||||blenheim roofing|false
|Bliss Chimney Sweeps||||||||bliss chimney sweeps|false
|Blue Angel Roofing & General Contractors||||||||blue angel roofing & general|false
|Blue Ribbon Roofing ( Other Commercial Services)||||||||blue ribbon roofing ( other commercial services)|false
|Bluefern Building And Design Consultancy||||||||bluefern building and design consultancy|false
|BMI Group (Other Commercial Products)||||||||bmi group (other commercial products)|false
|Bms Roofing Services||||||||bms roofing|false
|Bob Jones Roofing Contractors||||||||bob jones roofing|false
|Bold North Roofing and Contracting||||||||bold north roofing and contracting|false
|Bolton Roofing Contractors||||||||bolton roofing|false
Bone Dry Roofing - Athens|Bone Dry Roofing||1.00|2.00|58.00|133941.00|861081716|'Bone Dry Roofing'|bone dry roofing|false
|Boral Roofing, a Westlake Company||||||||boral roofing, a westlake|false
|Bowller Group||||||||bowller|false
|Bpr Roofing Services||||||||bpr roofing|false
|Bps Roofing Services||||||||bps roofing|false
|Bracknell Roofing||||||||bracknell roofing|false
|Brads Roofing ()||||||||brads roofing ()|false
|Brandon J Roofing||||||||brandon j roofing|false
|BRATTLEBORO ROOFING & SHEET METAL SERVICES||||||||brattleboro roofing & sheet metal|false
|Bravo's Roofing||||||||bravo's roofing|false
|Brazen Roofing||||||||brazen roofing|false
|Brd Roofing Services||||||||brd roofing|false
|Breakers Roofing And Building Contractors||||||||breakers roofing and building|false
|Bri-Den Roofing||||||||bri-den roofing|false
|Bridgewater Roofing Contractors||||||||bridgewater roofing|false
|Bridgewood Roofing & General Contractors||||||||bridgewood roofing & general|false
|Briggs Roofing Services||||||||briggs roofing|false
|Broomfield Roofing Services||||||||broomfield roofing|false
|Brothers Services||||||||brothers|false
|Broward Roofing Supply of Hallandale||||||||broward roofing supply of hallandale|false
|Brown Roofing Contractors||||||||brown roofing|false
|Brown's Roofing||||||||brown's roofing|false
|Brunwin Professional Roofing Services||||||||brunwin professional roofing|false
|BSW Roofing Contractors||||||||bsw roofing|false
|Bt Roofing Services||||||||bt roofing|false
Bulldog Roofing|Bulldog Roofing||1.00|2.00|21.00|840.00|474528029|'Bulldog Roofing'|bulldog roofing|false
|Bumble Roofing||||||||bumble roofing|false
|Burgin Roofing Services||||||||burgin roofing|false
|Burke Industries||||||||burke|false
|Burns & Scalo||||||||burns & scalo|false
|Bury Roofing Services||||||||bury roofing|false
|Byford Roofing Services||||||||byford roofing|false
|Byrne Roofing Services||||||||byrne roofing|false
|C Hynes Roofing Services||||||||c hynes roofing|false
|C J Roofing Services||||||||c j roofing|false
|C S Roofing Contractors||||||||c s roofing|false
|C. J. S. Roofing Contractors||||||||c. j. s. roofing|false
|C.H.I. Roofing||||||||c.h.i. roofing|false
|C&J Harrison Roofing Services||||||||c&j harrison roofing|false
double kwik Ermine|C||1.00|3.00|645.00|1069961.00|810583723|'c'|c|false
double kwik Pound|C||1.00|3.00|645.00|1069961.00|810583723|'c'|c|false
double kwik Hindman 1|C||1.00|3.00|645.00|1069961.00|810583723|'c'|c|false
double kwik Phelps|C||1.00|3.00|645.00|1069961.00|810583723|'c'|c|false
|CA Group (Building Products)||||||||ca group (building products)|false
|Caden Roofing Services||||||||caden roofing|false
|Cal's Roofing||||||||cal's roofing|false
|Cambie Roofing Contractors||||||||cambie roofing|false
|Cambridge Wilson & Co.||||||||cambridge wilson &|false
|Camp Facility Services||||||||camp facility|false
|Campany Roofing||||||||campany roofing|false
|campbell roofing materials co||||||||campbell roofing materials|false
|Cannon Roofing||||||||cannon roofing|false
|Canopy Home Exteriors||||||||canopy home exteriors|false
|CanPro Roofing Partners||||||||canpro roofing|false
|Capital Roofing & Building Services||||||||capital roofing & building|false
|Capital Roofing Contractors||||||||capital roofing|false
|Capital Roofing Services Edinburgh||||||||capital roofing services edinburgh|false
|Cardinal Roofing and Restoration||||||||cardinal roofing and restoration|false
|Carmen Roofing Services||||||||carmen roofing|false
|Carpenter's Roofing & Sheet Metal||||||||carpenter's roofing & sheet metal|false
|CARRILLO ROOFING SERVICES||||||||carrillo roofing|false
|Carroll & Sons Roofing||||||||carroll & sons roofing|false
|Carter Roofing Services||||||||carter roofing|false
|Carvil Jones Roofing Contractors||||||||carvil jones roofing|false
|Castile Roofing||||||||castile roofing|false
|Castle Damp-Proofing||||||||castle damp-proofing|false
|Cater (Roofing Contractors)||||||||cater (roofing contractors)|false
|Cb Roofing Services||||||||cb roofing|false
|CCR Roofing Services||||||||ccr roofing|false
|CeDUR||||||||cedur|false
|Centennial Roofing (Other Commercial Services)||||||||centennial roofing (other commercial services)|false
Naomi Heights Nursing and Rehab Center|CENTRAL||1.00|2.00|96.00|119680.00|201897905|'Central Management'|central|false
Central Roofing Company|Central Roofing||1.00|2.00|44.00|74520.00|330536574|'Central Roofing Co.'|central roofing|false
|Central Roofing Illinois||||||||central roofing illinois|false
