"id","company_name","establishment_name","ein","street_address","city","state","zip_code","naics_code","industry_description","annual_average_employees","total_hours_worked","no_injuries_illnesses","total_deaths","total_dafw_cases","total_djtr_cases","total_other_cases","total_dafw_days","total_djtr_days","total_injuries","total_poisonings","total_respiratory_conditions","total_skin_disorders","total_hearing_loss","total_other_illnesses","establishment_id","establishment_type","size","year_filing_for","created_timestamp","change_reason"
1369325,"M Cannon Roofing Co, LLC","M Cannon Roofing Co, LLC",,"1238 Remington Rd","Schamburg","IL","60173",238160," Roof membrane installation ",38,51436,2,0,0,0,0,0,0,0,0,0,0,0,0,363933,1,2,2020,3/30/2021 13:06:56,
1370018,,"Interstate Corporation","521562512","16031 Industrial Drive","Gaithersburg","MD","20877",238160," Roofing contractors ",40,80589,2,0,0,0,0,0,0,0,0,0,0,0,0,362470,1,2,2020,3/31/2021 18:03:39,
1370043,"Arapahoe Roofing and Sheet Metal, Inc.","Arapahoe Roofing and Sheet Metal, Inc.",,"1501 S. Arthur Ave.","Louisville","CO","80027",238160," Roofing contractors ",127,238160,1,0,1,0,3,141,0,4,0,0,0,0,0,214010,1,2,2020,3/31/2021 18:25:18,
1370370,"CMR Construction & Roofing","CMR Construction & Roofing",,"4308 Garland Drive","Haltom City","TX","76117",238160," Roofing contractors ",161,334880,2,0,0,0,0,0,0,0,0,0,0,0,0,745434,1,2,2020,4/1/2021 17:14:53,
1370508,,"Coast 2 Coast Support, Inc",,"4700 Powerline Road","Oakland Park","FL","33309",238160," Asphalt roof shingle installation ",12,20342,2,0,0,0,0,0,0,0,0,0,0,0,0,745487,1,1,2020,4/1/2021 23:58:59,
1370814,"Eskola LLC","Eskola LLC Nashville TN","200864887","160 Commerce Dr","Hendersonville","TN","37075",238160," Roofing contractors ",18,38669,2,0,0,0,0,0,0,0,0,0,0,0,0,590460,1,1,2020,4/5/2021 13:42:58,
1370815,"Eskola LLC","Eskola LLC Knoxville, TN","200864887","2933 NW Park Drive","Knoxville","TN","37921",238160," Roofing contractors ",47,100969,2,0,0,0,0,0,0,0,0,0,0,0,0,441461,1,1,2020,4/5/2021 13:44:35,
1370816,"Eskola LLC","ESKOLA LLC Morristown TN","200864887","2418 Morelock Road","Morristown","TN","37813",238160," Roofing contractors ",47,100969,2,0,0,0,0,0,0,0,0,0,0,0,0,41960,1,2,2020,4/5/2021 13:45:32,
1370922,"All American Roofing, Inc","All American Roofing Inc  DBA All American Exterior Solutions Residential","363422277","150 Oakwood Road","LAKE ZURICH","IL","60047",238160," Roofing contractors ",28,32845,1,0,5,0,0,74,0,1,0,4,0,0,0,363941,1,2,2020,4/5/2021 16:25:23,
1370924,"All American Exterior Solutions228160","All American Commercial Roofing Inc. DBA All American Exterior Solutions","364338072","150 Oakwood Road","Lake Zurich","IL","60047",238160," Roofing contractors ",128,192490,1,0,13,0,0,524,0,4,0,9,0,0,0,745649,1,2,2020,4/5/2021 16:26:03,
