company_name|ein|stripped_company_name|annual_average_employees_2020|annual_average_employees_2021|annual_average_employees_2022|annual_average_employees_2023|annual_average_employees_2024|total_hours_worked_2020|total_hours_worked_2021|total_hours_worked_2022|total_hours_worked_2023|total_hours_worked_2024
Miller-Thomas-Gyekis INC.|251054605|miller-thomas-gyekis|65|58|48|70|0|93667|73213|60608|66699|0
Minorcan Construction Group|822937444|minorcan|0|0|0|25|0|0|0|0|52000|0
Mint Roofing|810389786|mint roofing|51|51|51|55|55|89313|85094|77621|105593|107753
Missouri Builders Service, Inc|431532256|missouri builders service|0|110|142|175|142|0|177568|241238|301904|233461
MKS Specialty Finishes|954662669|mks specialty finishes|0|0|0|25|0|0|0|0|346|0
Modern Builders, Inc.|420928952|modern builders|84|0|82|97|0|164334|0|169810|207581|0
Modern Roofing, Inc.|382184928|modern roofing|0|0|61|56|65|0|0|100013|89674|104974
MODTEK ROOFING, INC.|203369155|modtek roofing|0|11|0|0|0|0|16742|0|0|0
Molloy Roofing Company|310787317|molloy roofing|52|50|51|49|44|99730|94710|98138|87330|87029
Momentum Builders, Inc.|251413147|momentum builders|0|15|14|19|15|0|28264|17712|25532|31152
Monarch Company LLC|263659887|monarch|0|0|0|0|50|0|0|0|0|142941
Monarch Roofing of Hilton Head|830821020|monarch roofing of hilton head|0|0|0|0|15|0|0|0|0|30664
Monarch Roofing of Wilmington, Inc|824819357|monarch roofing of wilmington|0|0|0|0|15|0|0|0|0|41302
Monpat Construction Inc.|113184420|monpat|0|28|0|0|0|0|26832|0|0|0
More Consulting Corp.|261923534|more|0|0|35|35|35|0|0|63592|102834|3541931
Moriarty's Roofing, Inc.|474961412|moriarty's roofing|0|0|27|30|32|0|0|51300|51628|64514
Morristown Roofing Company, Inc.|621046724|morristown roofing|0|0|42|42|38|0|0|103602|87280|89563
Moser Roofing Solutions, LLC|465718021|moser roofing|0|0|0|0|34|0|0|0|0|74460
Mountain States Roofing, Incorporated|261702268|mountain states roofing|0|0|42|43|37|0|0|70303|61750|46742
MOUNTAIN VIEW SOLAR AND WIND, LLC|270789363|mountain view solar & wind|27|45|52|114|101|44493|69740|85980|173632|84618
MPower Contracting LLC|814632588|mpower contracting|46|44|31|0|0|362540|92487|56469|0|0
Mr G Guarantee Roofing Corp|460699206|mr g guarantee roofing|41|0|30|36|33|59334|0|38381|36793|35503
MRB Contractors|455100627|mrb|0|0|120|0|0|0|0|184230|0|0
MRC Roofing, LLC|274488625|mrc roofing|36|29|32|32|32|59518|57310|56851|52209|53469
MSM ROOFING, LLC|453738439|msm roofing|0|18|0|0|0|0|8809|0|0|0
Mudd Brothers Inc.|850342171|mudd brothers|30|0|0|0|0|64800|0|0|0|0
MUHS UNLIMITED, INC.|452756722|muhs unlimited|0|0|0|42|34|0|0|0|80454|58094
MULTI ROOF MAINTENANCE, LLC|743175522|multi roof maintenance|17|0|0|0|0|33705|0|0|0|0
Murtaugh Restorations, Inc.||murtaugh restorations|0|27|0|0|0|0|17756|0|0|0
Music City Roofers, LLC|460757455|music city roofers|0|0|0|34|25|0|0|0|40255|47572
Muth & Company Roofing, Inc.|223887745|muth & company roofing|21|0|20|21|24|38150|0|37028|37628|41593
N.F. Mansuetto & Sons, Inc.|550483513|n.f. mansuetto & sons|0|80|85|75|70|0|123036|140849|135964|130259
Nason Roofing inc.|821567036|nason roofing|0|0|25|25|20|0|0|16441|17128|45217
National Roofing & Sheet Metal Co., Inc.||national roofing & sheet metal|0|0|56|58|0|0|0|96746|107403|0
National Roofing Company|850254343|national roofing|141|0|0|0|0|274251|0|0|0|0
Nations Roof|822431871|nations roof|0|0|21|0|0|0|0|59202|0|0
