company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|website|match_company_name|stripped_company_name|company_name_multiple_match
Beacon Roofing Supply||1|1428|1900|3880629|364173371|www.becn.com|'Beacon Roofing Supply Inc'|beacon roofing supply|false
Belcher Contractors & Roofing|||||||www.belcherroofinginc.com||belcher contractors & roofing|false
Beldon Roofing & Remodeling||1|22|147|433725|741316691|www.beldon.com|'Beldon Roofing & Remodeling Co'|beldon roofing & remodeling|false
Best Choice Roofing & Home Improvement|||||||www.bestchoiceroofing.com||best choice roofing & home improvement|false
Best Hands Roofing Contractors of Colorado Springs|||||||besthandsroofingcoloradosprings.com||best hands roofing contractors of colorado springs|false
Best Roofing||1|24|362|520120|452411210|www.bestroofing.net|'Best Roofing Services, LLC'|best roofing|false
BH Roofing (Other Commercial Services)|||||||www.bhroofingsa.com||bh roofing|false
Big Rapids Roofing|||||||bigrapidsroofing.net||big rapids roofing|false
Bigfoot Roofing & Construction||1|21|22|45600|452492305|www.bigfootroofing.com|'Bigfoot Roofing & Construction'|bigfoot roofing &|false
Bill Shields Roofing|||||||billshieldsroofing.com||bill shields roofing|false
Birmingham Roofing Contractors|||||||birmingham-roofing.net||birmingham roofing|false
Blackhawk Roofing Services|||||||black-hawkroofing.co.uk||blackhawk roofing|false
Blake Roofing Services|||||||unknown||blake roofing|false
Blenheim Roofing Services|||||||blenheimroofing.co.uk||blenheim roofing|false
Bliss Chimney Sweeps|||||||chimneysweepsurrey.co.uk||bliss chimney sweeps|false
Blue Angel Roofing & General Contractors|||||||blueangelroofinggc.com||blue angel roofing & general|false
Blue Ribbon Roofing ( Other Commercial Services)|||||||www.blueribbonroofingnc.com||blue ribbon roofing|false
Bluefern Building And Design Consultancy|||||||tgriffiths-roofing.co.uk||bluefern building and design consultancy|false
BMI Group (Other Commercial Products)|||||||www.bmigroup.com||bmi|false
Bms Roofing Services|||||||unknown||bms roofing|false
Bob Jones Roofing Contractors|||||||bobjonesroofing.co.uk||bob jones roofing|false
Bold North Roofing and Contracting|||||||boldnorthroofing.com||bold north roofing and contracting|false
Bolton Roofing Contractors|||||||boltonroofing.co.uk||bolton roofing|false
Bone Dry Roofing||1|157|416|586955|351883225, 861081716|bonedry.com|'Bone Dry Roofing'|bone dry roofing|true
Boral Roofing, a Westlake Company|||||||boralroof.com||boral roofing, a westlake|false
Bowller Group|||||||bowllersolar.co.uk||bowller|false
Bpr Roofing Services|||||||bprroofing.co.uk||bpr roofing|false
Bps Roofing Services|||||||bpsroofing.com||bps roofing|false
Bracknell Roofing|||||||www.bracknellroofing.com||bracknell roofing|false
Brads Roofing ()|||||||sttammanyroofer.net||brads roofing|false
Brandon J Roofing|||||||www.brandonjroofing.com||brandon j roofing|false
BRATTLEBORO ROOFING & SHEET METAL SERVICES|||||||brsmservices.com||brattleboro roofing & sheet metal|false
Bravo's Roofing|||||||bravosroof.com||bravo's roofing|false
Brazen Roofing|||||||brazenroofing.com||brazen roofing|false
Brd Roofing Services|||||||brdroofingservices.co.uk||brd roofing|false
Breakers Roofing And Building Contractors|||||||breakersroofingandbuilding.co.uk||breakers roofing and building|false
